"T","U:0","U:1","U:2","kappaEff","p_rgh","rhok","Points:0","Points:1","Points:2"
299.03,0.20532,0.0033767,0.0083207,1,0.74264,1,2.475,0.56364,0.7
300.4,0.21244,0.0028369,-0.009559,1,0.76126,1,2.475,0.56364,0.55
298.77,0.24491,-0.0050578,0.0081289,1,0.72251,1,2.475,0.57576,0.7
300.09,0.25367,-0.0043967,-0.010365,1,0.75311,1,2.475,0.57576,0.55
298.5,0.33171,-0.020912,0.0033109,1,0.70596,1,2.475,0.58788,0.7
299.76,0.34341,-0.014616,-0.010885,1,0.75771,1,2.475,0.58788,0.55
298.1,0.56392,-0.045167,-0.017392,1,0.75461,1,2.475,0.6,0.7
299.3,0.5846,-0.030684,-0.018852,1,0.7567,1,2.475,0.6,0.55
308.3,0.021617,-0.00032145,0.00027335,1,0.96405,1,2.4625,0.2,0.7
308.06,0.033232,-0.00084744,0.00046032,1,0.96562,1,2.4625,0.21212,0.7
308.47,0.033564,-0.00049259,0.00084239,1,0.96488,1,2.4625,0.2,0.68846
308.77,0.052983,-0.00073746,0.0017335,1,0.9666,1,2.4625,0.2,0.67692
309.02,0.065314,-0.00086357,0.0021299,1,0.96866,1,2.4625,0.2,0.66539
309.22,0.073256,-0.00095631,0.0020454,1,0.97092,1,2.4625,0.2,0.65385
309.4,0.07805,-0.0010224,0.0015854,1,0.97276,1,2.4625,0.2,0.64231
309.56,0.08024,-0.0010525,0.00091191,1,0.97404,1,2.4625,0.2,0.63077
309.69,0.080022,-0.0010385,0.00013639,1,0.97477,1,2.4625,0.2,0.61923
309.79,0.077464,-0.00098632,-0.00062846,1,0.97471,1,2.4625,0.2,0.60769
309.88,0.072396,-0.00090852,-0.0012186,1,0.97381,1,2.4625,0.2,0.59615
309.93,0.06426,-0.0008076,-0.0014724,1,0.97239,1,2.4625,0.2,0.58461
309.95,0.051889,-0.00067487,-0.0013007,1,0.9709,1,2.4625,0.2,0.57308
309.93,0.032727,-0.00043964,-0.00066333,1,0.96944,1,2.4625,0.2,0.56154
309.91,0.021006,-0.00028016,-0.00022295,1,0.96866,1,2.4625,0.2,0.55
309.75,0.032395,-0.00073579,-0.00037967,1,0.96994,1,2.4625,0.21212,0.55
307.63,0.052241,-0.0015536,0.00073646,1,0.96868,1,2.4625,0.22424,0.7
309.43,0.051098,-0.001342,-0.00061501,1,0.97243,1,2.4625,0.22424,0.55
307.25,0.064786,-0.0016728,0.00089147,1,0.97169,1,2.4625,0.23636,0.7
309.12,0.063546,-0.0014211,-0.00075696,1,0.97493,1,2.4625,0.23636,0.55
306.89,0.073729,-0.0013622,0.001009,1,0.9745,1,2.4625,0.24848,0.7
308.82,0.072485,-0.0011005,-0.00087354,1,0.9773,1,2.4625,0.24848,0.55
306.54,0.080417,-0.00074782,0.0011032,1,0.9767,1,2.4625,0.26061,0.7
308.5,0.079214,-0.00049079,-0.0009729,1,0.97916,1,2.4625,0.26061,0.55
306.19,0.08558,4.2111e-05,0.0011807,1,0.97812,1,2.4625,0.27273,0.7
308.19,0.08444,0.00029093,-0.0010586,1,0.98033,1,2.4625,0.27273,0.55
305.86,0.089654,0.00091709,0.0012447,1,0.97872,1,2.4625,0.28485,0.7
307.87,0.088588,0.0011597,-0.0011323,1,0.98076,1,2.4625,0.28485,0.55
305.53,0.09292,0.0018197,0.0012972,1,0.97852,1,2.4625,0.29697,0.7
307.55,0.091936,0.0020606,-0.0011956,1,0.98044,1,2.4625,0.29697,0.55
305.19,0.095575,0.0027163,0.0013401,1,0.97758,1,2.4625,0.30909,0.7
307.22,0.094678,0.0029602,-0.0012497,1,0.97942,1,2.4625,0.30909,0.55
304.87,0.097762,0.003588,0.0013747,1,0.97595,1,2.4625,0.32121,0.7
306.89,0.096956,0.0038396,-0.0012962,1,0.97773,1,2.4625,0.32121,0.55
304.54,0.099592,0.0044256,0.0014026,1,0.97368,1,2.4625,0.33333,0.7
306.56,0.098883,0.0046888,-0.0013365,1,0.97541,1,2.4625,0.33333,0.55
304.22,0.10115,0.0052256,0.0014252,1,0.97082,1,2.4625,0.34545,0.7
306.23,0.10055,0.0055038,-0.0013721,1,0.97253,1,2.4625,0.34545,0.55
303.91,0.10252,0.0059874,0.0014438,1,0.96741,1,2.4625,0.35758,0.7
305.89,0.10202,0.0062833,-0.0014043,1,0.96909,1,2.4625,0.35758,0.55
303.59,0.10376,0.0067118,0.0014596,1,0.96348,1,2.4625,0.3697,0.7
305.55,0.10337,0.0070271,-0.0014344,1,0.96514,1,2.4625,0.3697,0.55
303.28,0.10492,0.0073993,0.0014738,1,0.95906,1,2.4625,0.38182,0.7
305.22,0.10465,0.0077348,-0.0014635,1,0.9607,1,2.4625,0.38182,0.55
302.97,0.10607,0.0080496,0.0014876,1,0.95415,1,2.4625,0.39394,0.7
304.88,0.10593,0.0084046,-0.001493,1,0.95576,1,2.4625,0.39394,0.55
302.66,0.10726,0.0086606,0.0015023,1,0.94876,1,2.4625,0.40606,0.7
304.54,0.10726,0.0090323,-0.001524,1,0.95033,1,2.4625,0.40606,0.55
302.36,0.10856,0.009228,0.0015195,1,0.9429,1,2.4625,0.41818,0.7
304.22,0.1087,0.009611,-0.001558,1,0.94442,1,2.4625,0.41818,0.55
302.06,0.11002,0.0097449,0.0015407,1,0.93655,1,2.4625,0.4303,0.7
303.89,0.11032,0.01013,-0.0015965,1,0.93803,1,2.4625,0.4303,0.55
301.76,0.11173,0.010201,0.0015682,1,0.92972,1,2.4625,0.44242,0.7
303.56,0.11221,0.010573,-0.0016415,1,0.93116,1,2.4625,0.44242,0.55
301.47,0.11378,0.010581,0.0016046,1,0.92239,1,2.4625,0.45454,0.7
303.23,0.11445,0.01092,-0.0016952,1,0.92381,1,2.4625,0.45454,0.55
301.19,0.11627,0.010866,0.0016529,1,0.91453,1,2.4625,0.46667,0.7
302.91,0.11716,0.011143,-0.0017607,1,0.91601,1,2.4625,0.46667,0.55
300.9,0.11935,0.011031,0.0017172,1,0.90614,1,2.4625,0.47879,0.7
302.59,0.12049,0.011207,-0.0018415,1,0.90777,1,2.4625,0.47879,0.55
300.62,0.12319,0.01104,0.0018021,1,0.89716,1,2.4625,0.49091,0.7
302.27,0.12461,0.011068,-0.0019423,1,0.89914,1,2.4625,0.49091,0.55
300.35,0.12802,0.010844,0.0019131,1,0.88755,1,2.4625,0.50303,0.7
301.96,0.12977,0.010668,-0.0020686,1,0.8902,1,2.4625,0.50303,0.55
300.09,0.13415,0.010373,0.002055,1,0.87722,1,2.4625,0.51515,0.7
301.65,0.13629,0.0099318,-0.0022264,1,0.88105,1,2.4625,0.51515,0.55
299.82,0.14204,0.0095172,0.0022301,1,0.86607,1,2.4625,0.52727,0.7
301.34,0.14463,0.0087607,-0.0024213,1,0.87186,1,2.4625,0.52727,0.55
299.56,0.1524,0.0080949,0.0024288,1,0.854,1,2.4625,0.53939,0.7
301.04,0.15556,0.007014,-0.0026552,1,0.86291,1,2.4625,0.53939,0.55
299.31,0.16658,0.00579,0.0026065,1,0.84098,1,2.4625,0.55151,0.7
300.74,0.17043,0.0044834,-0.0029193,1,0.85466,1,2.4625,0.55151,0.55
299.05,0.18755,0.0020307,0.0026135,1,0.82716,1,2.4625,0.56364,0.7
300.45,0.19232,0.00085,-0.0031731,1,0.84798,1,2.4625,0.56364,0.55
298.8,0.22391,-0.0046164,0.0018102,1,0.81171,1,2.4625,0.57576,0.7
300.15,0.22999,-0.0044826,-0.0032657,1,0.84471,1,2.4625,0.57576,0.55
298.53,0.30643,-0.017216,-0.0035438,1,0.79779,1,2.4625,0.58788,0.7
299.82,0.315,-0.011367,-0.0029877,1,0.85152,1,2.4625,0.58788,0.55
