"Node Number","Temperature","Points:0","Points:1","Points:2"
6678,180.12,4.94,0.82,0
6679,180.12,4.94,0.81,0
6680,180.12,4.94,0.8,0
6681,180.12,4.94,0.79,0
6682,180.12,4.94,0.78,0
6683,180.12,4.94,0.77,0
6684,180.12,4.94,0.76,0
6685,180.12,4.94,0.75,0
6686,180.12,4.94,0.74,0
6687,180.12,4.94,0.73,0
6688,180.12,4.94,0.72,0
6689,180.12,4.94,0.71,0
6690,180.12,4.94,0.7,0
6691,180.12,4.94,0.69,0
6692,180.12,4.94,0.68,0
6693,180.12,4.94,0.67,0
6694,180.12,4.94,0.66,0
6695,180.12,4.94,0.65,0
6696,180.12,4.94,0.64,0
6697,180.12,4.94,0.63,0
6698,180.12,4.94,0.62,0
6699,180.12,4.94,0.61,0
6700,180.12,4.94,0.6,0
6701,180.12,4.94,0.59,0
6702,180.12,4.94,0.58,0
6703,180.12,4.94,0.57,0
6704,180.12,4.94,0.56,0
6705,180.12,4.94,0.55,0
6706,180.12,4.94,0.54,0
6707,180.12,4.94,0.53,0
6708,180.12,4.94,0.52,0
6709,180.12,4.94,0.51,0
6710,180.12,4.94,0.5,0
6711,180.12,4.94,0.49,0
6712,180.12,4.94,0.48,0
6713,180.12,4.94,0.47,0
6714,180.12,4.94,0.46,0
6715,180.12,4.94,0.45,0
6716,180.12,4.94,0.44,0
6717,180.12,4.94,0.43,0
6718,180.12,4.94,0.42,0
6719,180.12,4.94,0.41,0
6720,180.12,4.94,0.4,0
6721,180.12,4.94,0.39,0
6722,180.12,4.94,0.38,0
6723,180.12,4.94,0.37,0
6724,180.12,4.94,0.36,0
6725,180.12,4.94,0.35,0
6726,180.12,4.94,0.34,0
6727,180.12,4.94,0.33,0
6728,180.12,4.94,0.32,0
6729,180.12,4.94,0.31,0
6730,180.12,4.94,0.3,0
6731,180.12,4.94,0.29,0
6732,180.12,4.94,0.28,0
6733,180.12,4.94,0.27,0
6734,180.12,4.94,0.26,0
6735,180.12,4.94,0.25,0
6736,180.12,4.94,0.24,0
6737,180.12,4.94,0.23,0
6738,180.12,4.94,0.22,0
6739,180.12,4.94,0.21,0
6740,180.12,4.94,0.2,0
6741,180.12,4.94,0.19,0
6742,180.12,4.94,0.18,0
6743,180.12,4.94,0.17,0
6744,180.12,4.94,0.16,0
6745,180.12,4.94,0.15,0
6746,180.12,4.94,0.14,0
6747,180.12,4.94,0.13,0
6748,180.12,4.94,0.12,0
6749,180.12,4.94,0.11,0
6750,180.12,4.94,0.1,0
6751,180.12,4.94,0.09,0
6752,180.12,4.94,0.08,0
6753,180.12,4.94,0.07,0
6754,180.12,4.94,0.06,0
6755,180.12,4.94,0.05,0
6756,180.12,4.94,0.04,0
6757,180.12,4.94,0.03,0
6758,180.12,4.94,0.02,0
6759,180.12,4.94,0.01,0
6760,180.12,4.93,0.99,0
6761,180.12,4.93,0.98,0
6762,180.12,4.93,0.97,0
6763,180.12,4.93,0.96,0
6764,180.12,4.93,0.95,0
6765,180.12,4.93,0.94,0
6766,180.12,4.93,0.93,0
6767,180.12,4.93,0.92,0
6768,180.12,4.93,0.91,0
6769,180.12,4.93,0.9,0
6770,180.12,4.93,0.89,0
6771,180.12,4.93,0.88,0
6772,180.12,4.93,0.87,0
6773,180.12,4.93,0.86,0
6774,180.12,4.93,0.85,0
6775,180.12,4.93,0.84,0
6776,180.12,4.93,0.83,0
6777,180.12,4.93,0.82,0
6778,180.12,4.93,0.81,0
6779,180.12,4.93,0.8,0
6780,180.12,4.93,0.79,0
6781,180.12,4.93,0.78,0
6782,180.12,4.93,0.77,0
6783,180.12,4.93,0.76,0
6784,180.12,4.93,0.75,0
6785,180.12,4.93,0.74,0
6786,180.12,4.93,0.73,0
6787,180.12,4.93,0.72,0
6788,180.12,4.93,0.71,0
6789,180.12,4.93,0.7,0
6790,180.12,4.93,0.69,0
6791,180.12,4.93,0.68,0
6792,180.12,4.93,0.67,0
6793,180.12,4.93,0.66,0
6794,180.12,4.93,0.65,0
6795,180.12,4.93,0.64,0
6796,180.12,4.93,0.63,0
6797,180.12,4.93,0.62,0
6798,180.12,4.93,0.61,0
6799,180.12,4.93,0.6,0
6800,180.12,4.93,0.59,0
6801,180.12,4.93,0.58,0
6802,180.12,4.93,0.57,0
6803,180.12,4.93,0.56,0
6804,180.12,4.93,0.55,0
6805,180.12,4.93,0.54,0
6806,180.12,4.93,0.53,0
6807,180.12,4.93,0.52,0
6808,180.12,4.93,0.51,0
6809,180.12,4.93,0.5,0
6810,180.12,4.93,0.49,0
6811,180.12,4.93,0.48,0
6812,180.12,4.93,0.47,0
6813,180.12,4.93,0.46,0
6814,180.12,4.93,0.45,0
6815,180.12,4.93,0.44,0
